Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
Manager / Senior Manager – Indirect Tax,FirstCry.com (BrainBees Solutions Ltd.),8.0,Senior,Management,Pune,Maharashtra,India,Talent
Senior Design Manager / Design Manager,"Helpshift, a Keywords Technology",8.0,Senior,Management,Pune,Maharashtra,India,Talent
Project Manager,myGwork,8.0,Senior,Management,,,India,Talent
Delivery Manager,Zensar Technologies,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Manager / Assistant Manager – Decarbonization,TÜV SÜD,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Program Manager,Authentica,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Project Manager,PayNways Worldwide,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Recruitment Manager,Credence Global Solutions,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Technical Manager,AceNet,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Program Manager,JCB India Ltd.,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Cloud Architect,IDFC FIRST Bank,7.5,Senior,Cloud,Mumbai,Maharashtra,India,Talent
Cloud Engineer - Google Cloud Platform,Idyllic Services Pvt. Ltd.,3.0,Junior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect,Madhees,7.5,Senior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Administrator,LTIMindtree,6.5,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud DBA,Luxoft,3.0,Junior,Cloud,Kolkata,West Bengal,India,Talent
Cloud Architect,Eximietas Design,7.5,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect - Google Cloud Platform,TECH PROJECTS INDIA PRIVATE LIMITED,7.5,Senior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Engineer,NexionPro Services,3.0,Junior,Cloud,,,India,Talent
Cloud Devops,Tata Consultancy Services,3.0,Junior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Engineer,VSquare Systems Pvt. Ltd.,3.0,Junior,Cloud,Pune,Maharashtra,India,Talent
Cloud Lead,ScaleneWorks,5.5,Mid-Level,Cloud,Chennai,Tamil Nadu,India,Talent
Cloud Architect,ITC Limited,7.5,Senior,Cloud,Mumbai,Maharashtra,India,Talent
Senior Cloud Engineer / Cloud Architect,Invincible Ocean | InvincibleMeta.AI,7.5,Senior,Cloud,Gurgaon,Haryana,India,Talent
Oracle CPQ Cloud - Cloud Manager,myGwork,8.0,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Engineer - Google Cloud Platform,Talent Socio,3.0,Junior,Cloud,Jaipur,Rajasthan,India,Talent
Cloud Engineer,Recro,3.0,Junior,Cloud,Kolhapur,Maharashtra,India,Talent
Cloud Engineer,Deltek,3.0,Junior,Cloud,,,,Talent
Cloud Engineer,Accolite,3.0,Junior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect,Impetus Career Consultants,7.5,Senior,Cloud,mumbai,Maharashtra,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Oracle Apps Finance Functional,ORACLE,5.5,Mid-Level,Finance,,,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
PL / SQL Developer-Core Banking,ORACLE,3.0,Junior,Software Development,,,India,Talent
Senior Consultant- Cognos with SQL server,ORACLE,5.5,Mid-Level,Consulting,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Engineer : Java / J2ee REST SQL Product Development,ORACLE,5.5,Mid-Level,Software Development,,,India,Talent
Software Developer (PL / SQL),ORACLE,3.0,Junior,Software Development,,,India,Talent
"Principal Performance Engineer (DB, Golden Gate, SQL)",Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Database Developer,ORACLE,5.5,Mid-Level,Data Science / Analytics,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,,,India,Talent
Java - PL / SQL Developer,Oracle,3.0,Junior,Software Development,,,India,Talent
Senior Consultant - PL / SQL Core Banking,ORACLE,5.5,Mid-Level,Consulting,,,India,Talent
Application Support Specialist,Oracle,6.5,Senior,Other,,,India,Talent
